   longitude       latitude        Jan             Feb             Mar             Apr             May             June            July            Aug             Sept            Oct             Nov             Dec
  -1.4170000e+00   5.0750000e+01   5.0000000e+00   4.9000000e+00   6.4000000e+00   8.5000000e+00   1.1600000e+01   1.4600000e+01   1.6600000e+01   1.6600000e+01   1.4700000e+01   1.2000000e+01   8.0000000e+00   5.9000000e+00
  -1.5830000e+00   5.0750000e+01   4.8000000e+00   4.8000000e+00   6.4000000e+00   8.5000000e+00   1.1600000e+01   1.4500000e+01   1.6500000e+01   1.6400000e+01   1.4500000e+01   1.1700000e+01   7.8000000e+00   5.8000000e+00
  -1.7500000e+00   5.0750000e+01   4.7000000e+00   4.7000000e+00   6.2000000e+00   8.3000000e+00   1.1400000e+01   1.4400000e+01   1.6400000e+01   1.6200000e+01   1.4200000e+01   1.1400000e+01   7.5000000e+00   5.6000000e+00
  -1.9170000e+00   5.0750000e+01   4.8000000e+00   4.8000000e+00   6.4000000e+00   8.5000000e+00   1.1500000e+01   1.4600000e+01   1.6600000e+01   1.6400000e+01   1.4300000e+01   1.1500000e+01   7.6000000e+00   5.8000000e+00
  -2.0830000e+00   5.0750000e+01   4.8000000e+00   4.8000000e+00   6.4000000e+00   8.4000000e+00   1.1400000e+01   1.4500000e+01   1.6400000e+01   1.6300000e+01   1.4200000e+01   1.1500000e+01   7.6000000e+00   5.8000000e+00
  -2.2500000e+00   5.0750000e+01   4.6000000e+00   4.5000000e+00   6.1000000e+00   8.1000000e+00   1.1100000e+01   1.4100000e+01   1.6100000e+01   1.5900000e+01   1.3900000e+01   1.1200000e+01   7.3000000e+00   5.6000000e+00
  -2.4170000e+00   5.0750000e+01   4.6000000e+00   4.4000000e+00   6.1000000e+00   7.9000000e+00   1.0900000e+01   1.3900000e+01   1.5900000e+01   1.5800000e+01   1.3900000e+01   1.1200000e+01   7.3000000e+00   5.6000000e+00
  -2.5830000e+00   5.0750000e+01   4.4000000e+00   4.2000000e+00   5.9000000e+00   7.7000000e+00   1.0700000e+01   1.3700000e+01   1.5700000e+01   1.5600000e+01   1.3800000e+01   1.1100000e+01   7.2000000e+00   5.5000000e+00
  -2.7500000e+00   5.0750000e+01   4.8000000e+00   4.6000000e+00   6.2000000e+00   8.0000000e+00   1.1000000e+01   1.4000000e+01   1.6000000e+01   1.5900000e+01   1.4000000e+01   1.1300000e+01   7.6000000e+00   5.8000000e+00
  -2.9170000e+00   5.0750000e+01   4.8000000e+00   4.5000000e+00   6.1000000e+00   8.0000000e+00   1.0900000e+01   1.4000000e+01   1.5900000e+01   1.5800000e+01   1.3900000e+01   1.1300000e+01   7.5000000e+00   5.8000000e+00
